Time Period,1month,3month,6month,1year,2year,3year,5year,7year,10year,20year,30year
1990-03-28 00:00:00+00:00,,0.0812,0.0827,0.0833,0.0857,0.086,0.0853,0.0858,0.0851,,0.0847
1990-03-29 00:00:00+00:00,,0.081,0.0828,0.0836,0.0862,0.0865,0.086,0.0866,0.086,,0.0858
1990-03-30 00:00:00+00:00,,0.0807,0.0824,0.0835,0.0864,0.0869,0.0865,0.087,0.0865,,0.0863
1990-04-02 00:00:00+00:00,,0.0805,0.0823,0.0834,0.0862,0.0867,0.0865,0.0869,0.0865,,0.0863
1990-04-03 00:00:00+00:00,,0.0809,0.0825,0.0832,0.0861,0.0865,0.0864,0.0869,0.0863,,0.0861
1990-04-04 00:00:00+00:00,,0.0801,0.0817,0.0827,0.0854,0.0859,0.0856,0.0862,0.0855,,0.0852
1990-04-05 00:00:00+00:00,,0.0802,0.0818,0.0828,0.0854,0.086,0.0857,0.0863,0.0857,,0.0852
1990-04-06 00:00:00+00:00,,0.0802,0.0816,0.0826,0.0852,0.0858,0.0855,0.0861,0.0856,,0.0852
1990-04-09 00:00:00+00:00,,0.0809,0.0823,0.0829,0.0854,0.086,0.0858,0.0865,0.0859,,0.0855
1990-04-10 00:00:00+00:00,,0.0805,0.0821,0.0829,0.0854,0.0859,0.0858,0.0865,0.086,,0.0857
1990-04-11 00:00:00+00:00,,0.0803,0.082,0.0828,0.0856,0.0862,0.086,0.0863,0.0863,,0.0858
1990-04-12 00:00:00+00:00,,0.0802,0.082,0.0829,0.0857,0.0863,0.0862,0.0865,0.0864,,0.086
1990-04-16 00:00:00+00:00,,0.0801,0.0818,0.0829,0.0861,0.0866,0.0865,0.0869,0.0868,,0.0864
1990-04-17 00:00:00+00:00,,0.0803,0.0823,0.0838,0.087,0.0875,0.0873,0.0878,0.0877,,0.0874
1990-04-18 00:00:00+00:00,,0.0808,0.083,0.0849,0.0879,0.0884,0.0884,0.0888,0.0886,,0.0885
1990-04-19 00:00:00+00:00,,0.0806,0.0828,0.0846,0.0881,0.0886,0.0884,0.0888,0.0887,,0.0886
1990-04-20 00:00:00+00:00,,0.0795,0.0824,0.0844,0.0882,0.0888,0.0888,0.0895,0.0895,,0.0893
1990-04-23 00:00:00+00:00,,0.08,0.0831,0.085,0.0887,0.0891,0.0892,0.0897,0.0898,,0.0896
1990-04-24 00:00:00+00:00,,0.0803,0.0836,0.0855,0.0892,0.0898,0.0896,0.0901,0.09,,0.0898
1990-04-25 00:00:00+00:00,,0.0806,0.084,0.0857,0.0895,0.0901,0.09,0.0903,0.0901,,0.0898
1990-04-26 00:00:00+00:00,,0.0809,0.0845,0.0864,0.0903,0.0911,0.0909,0.091,0.0907,,0.0904
1990-04-27 00:00:00+00:00,,0.0805,0.0838,0.0857,0.0898,0.0907,0.0906,0.0909,0.0906,,0.0904
1990-04-30 00:00:00+00:00,,0.0807,0.0844,0.0858,0.0896,0.0905,0.0904,0.0906,0.0904,,0.09
1990-05-01 00:00:00+00:00,,0.0819,0.0849,0.0856,0.0902,0.0909,0.0908,0.0909,0.0908,,0.0904
1990-05-02 00:00:00+00:00,,0.0817,0.0849,0.0863,0.0905,0.0911,0.091,0.0912,0.0909,,0.0905
1990-05-03 00:00:00+00:00,,0.0815,0.0845,0.0862,0.0898,0.0905,0.0904,0.0905,0.0904,,0.0899
1990-05-04 00:00:00+00:00,,0.0802,0.0825,0.0843,0.087,0.0877,0.088,0.0883,0.0884,,0.0883
1990-05-07 00:00:00+00:00,,0.0809,0.0826,0.0844,0.0874,0.0882,0.0883,0.0886,0.0887,,0.0885
1990-05-08 00:00:00+00:00,,0.0806,0.0822,0.084,0.0868,0.0873,0.0879,0.0883,0.0884,,0.0881
1990-05-09 00:00:00+00:00,,0.0801,0.082,0.084,0.0875,0.0879,0.0887,0.0892,0.0888,,0.089
1990-05-10 00:00:00+00:00,,0.0797,0.0815,0.0833,0.0869,0.0873,0.088,0.0886,0.0882,,0.0881
1990-05-11 00:00:00+00:00,,0.0788,0.0804,0.0821,0.0855,0.0858,0.0864,0.0868,0.0864,,0.0864
1990-05-14 00:00:00+00:00,,0.0789,0.0806,0.082,0.0851,0.0854,0.086,0.0864,0.0861,,0.0858
1990-05-15 00:00:00+00:00,,0.0791,0.0809,0.0823,0.0854,0.0858,0.0864,0.0868,0.0865,,0.0862
1990-05-16 00:00:00+00:00,,0.0793,0.0809,0.0823,0.0854,0.0859,0.0866,0.0871,0.0868,,0.0864
1990-05-17 00:00:00+00:00,,0.0793,0.081,0.0824,0.0856,0.086,0.0869,0.0873,0.0869,,0.0865
1990-05-18 00:00:00+00:00,,0.0801,0.0816,0.0831,0.0863,0.0869,0.0874,0.0879,0.0875,,0.087
1990-05-21 00:00:00+00:00,,0.0802,0.0818,0.083,0.0861,0.0866,0.0874,0.0877,0.0874,,0.0869
1990-05-22 00:00:00+00:00,,0.0799,0.0818,0.0822,0.0854,0.0858,0.0866,0.0869,0.0865,,0.0861
1990-05-23 00:00:00+00:00,,0.0791,0.0811,0.0817,0.0851,0.0855,0.0861,0.0865,0.0861,,0.0859
1990-05-24 00:00:00+00:00,,0.0795,0.0812,0.0816,0.085,0.0854,0.0858,0.0866,0.0863,,0.086
1990-05-25 00:00:00+00:00,,0.0801,0.0818,0.0823,0.0853,0.0859,0.0861,0.0871,0.0869,,0.0867
1990-05-29 00:00:00+00:00,,0.0802,0.0817,0.0823,0.0852,0.0857,0.0859,0.0868,0.0866,,0.0864
1990-05-30 00:00:00+00:00,,0.0803,0.0809,0.082,0.0848,0.0854,0.0856,0.0865,0.0862,,0.086
1990-05-31 00:00:00+00:00,,0.0801,0.0812,0.0822,0.085,0.0853,0.0856,0.0864,0.086,,0.0858
1990-06-01 00:00:00+00:00,,0.0794,0.0801,0.0806,0.0833,0.0836,0.0838,0.0847,0.0844,,0.0843
1990-06-04 00:00:00+00:00,,0.0796,0.0803,0.0807,0.0831,0.0836,0.0839,0.0847,0.0844,,0.0843
1990-06-05 00:00:00+00:00,,0.0796,0.0803,0.0809,0.0834,0.0838,0.0842,0.0851,0.0847,,0.0846
1990-06-06 00:00:00+00:00,,0.0796,0.0802,0.0809,0.0834,0.084,0.0843,0.0851,0.0846,,0.0844
1990-06-07 00:00:00+00:00,,0.0796,0.0801,0.0807,0.0834,0.0838,0.0841,0.0849,0.0846,,0.0843
1990-06-08 00:00:00+00:00,,0.0796,0.0803,0.0807,0.0833,0.0838,0.0842,0.0851,0.0846,,0.0844
1990-06-11 00:00:00+00:00,,0.0799,0.0807,0.0809,0.0836,0.0841,0.0843,0.0852,0.0848,,0.0845
1990-06-12 00:00:00+00:00,,0.0799,0.0805,0.0809,0.0836,0.0842,0.0844,0.0852,0.0848,,0.0845
1990-06-13 00:00:00+00:00,,0.0793,0.0799,0.0802,0.0827,0.0832,0.0835,0.0844,0.084,,0.0839
1990-06-14 00:00:00+00:00,,0.0792,0.0798,0.08,0.0824,0.0829,0.0832,0.0841,0.0838,,0.0836
1990-06-15 00:00:00+00:00,,0.0795,0.0804,0.0805,0.0833,0.0837,0.0841,0.0849,0.0846,,0.0843
1990-06-18 00:00:00+00:00,,0.0793,0.0806,0.0811,0.0839,0.0842,0.0845,0.0853,0.085,,0.0847
1990-06-19 00:00:00+00:00,,0.08,0.0807,0.0815,0.0841,0.0845,0.0847,0.0855,0.0851,,0.0848
1990-06-20 00:00:00+00:00,,0.0803,0.0807,0.0816,0.0843,0.0846,0.0851,0.0859,0.0855,,0.0852
1990-06-21 00:00:00+00:00,,0.0803,0.0808,0.0814,0.0841,0.0844,0.0848,0.0857,0.0852,,0.085
1990-06-22 00:00:00+00:00,,0.0804,0.0805,0.0812,0.084,0.0843,0.0846,0.0855,0.0851,,0.0849
1990-06-25 00:00:00+00:00,,0.0805,0.0809,0.0819,0.0845,0.0848,0.0853,0.0862,0.0858,,0.0856
1990-06-26 00:00:00+00:00,,0.0807,0.0812,0.0819,0.0841,0.0849,0.0851,0.0859,0.0856,,0.0853
1990-06-27 00:00:00+00:00,,0.0805,0.081,0.0814,0.0837,0.0843,0.0847,0.0856,0.0852,,0.0849
1990-06-28 00:00:00+00:00,,0.08,0.0803,0.0807,0.0831,0.0837,0.0841,0.0851,0.0847,,0.0845
1990-06-29 00:00:00+00:00,,0.08,0.0802,0.0805,0.0824,0.0832,0.0835,0.0846,0.0843,,0.0841
1990-07-02 00:00:00+00:00,,0.08,0.0803,0.0806,0.0825,0.0832,0.0835,0.0846,0.0843,,0.0841
1990-07-03 00:00:00+00:00,,0.0796,0.08,0.0801,0.082,0.0828,0.0832,0.0844,0.084,,0.084
1990-07-05 00:00:00+00:00,,0.0792,0.0798,0.0802,0.0822,0.0831,0.0834,0.0845,0.0842,,0.0842
1990-07-06 00:00:00+00:00,,0.0801,0.0808,0.0814,0.0832,0.0841,0.0844,0.0856,0.0851,,0.0851
1990-07-09 00:00:00+00:00,,0.0806,0.0814,0.0819,0.0839,0.0846,0.0849,0.086,0.0857,,0.0855
1990-07-10 00:00:00+00:00,,0.0807,0.0817,0.0821,0.084,0.0848,0.085,0.0861,0.0857,,0.0856
1990-07-11 00:00:00+00:00,,0.0805,0.0815,0.0818,0.084,0.0846,0.0849,0.0858,0.0857,,0.0856
1990-07-12 00:00:00+00:00,,0.0794,0.0798,0.0798,0.082,0.0831,0.0837,0.0849,0.085,,0.085
1990-07-13 00:00:00+00:00,,0.0785,0.0791,0.0789,0.0813,0.0825,0.0832,0.0843,0.0845,,0.0846
1990-07-16 00:00:00+00:00,,0.0786,0.0791,0.0789,0.0815,0.0826,0.0831,0.0843,0.0844,,0.0846
1990-07-17 00:00:00+00:00,,0.0787,0.0791,0.0788,0.0813,0.0823,0.083,0.0842,0.0844,,0.0846
1990-07-18 00:00:00+00:00,,0.078,0.0788,0.0787,0.0813,0.0824,0.0834,0.0847,0.085,,0.0855
1990-07-19 00:00:00+00:00,,0.0779,0.0785,0.0787,0.0813,0.0823,0.0833,0.0847,0.0851,,0.0856
1990-07-20 00:00:00+00:00,,0.0779,0.0784,0.0784,0.0808,0.0818,0.0828,0.0843,0.0848,,0.0854
1990-07-23 00:00:00+00:00,,0.0773,0.0778,0.0781,0.0805,0.0817,0.0828,0.0843,0.0848,,0.0854
1990-07-24 00:00:00+00:00,,0.0778,0.0782,0.0788,0.0812,0.0825,0.0835,0.0848,0.0853,,0.0859
1990-07-25 00:00:00+00:00,,0.0781,0.0785,0.0787,0.0808,0.0824,0.0831,0.0844,0.0849,,0.0855
1990-07-26 00:00:00+00:00,,0.0783,0.0786,0.079,0.0808,0.0824,0.0831,0.0845,0.0849,,0.0854
1990-07-27 00:00:00+00:00,,0.0777,0.0779,0.078,0.08,0.0815,0.0825,0.0836,0.0842,,0.0848
1990-07-30 00:00:00+00:00,,0.0774,0.0774,0.0775,0.0793,0.0805,0.0814,0.0828,0.0834,,0.084
1990-07-31 00:00:00+00:00,,0.0774,0.0772,0.0772,0.0791,0.0804,0.0813,0.0828,0.0836,,0.0842
1990-08-01 00:00:00+00:00,,0.0767,0.0765,0.0763,0.0785,0.0796,0.0806,0.082,0.0829,,0.0836
1990-08-02 00:00:00+00:00,,0.0768,0.0767,0.077,0.079,0.0803,0.0815,0.083,0.0841,,0.0846
1990-08-03 00:00:00+00:00,,0.0752,0.0755,0.0756,0.0779,0.0798,0.0811,0.0832,0.0843,,0.0855
1990-08-06 00:00:00+00:00,,0.0754,0.0759,0.0763,0.079,0.0811,0.0829,0.0855,0.0871,,0.0882
1990-08-07 00:00:00+00:00,,0.0761,0.0773,0.0775,0.0804,0.0819,0.0841,0.0865,0.0878,,0.0886
1990-08-08 00:00:00+00:00,,0.0762,0.0769,0.0773,0.0802,0.0819,0.0843,0.0865,0.0877,,0.0887
1990-08-09 00:00:00+00:00,,0.0766,0.0769,0.0772,0.0799,0.0813,0.0833,0.0855,0.0866,,0.0875
1990-08-10 00:00:00+00:00,,0.0764,0.0768,0.0767,0.0795,0.0812,0.0835,0.0858,0.0868,,0.0879
1990-08-13 00:00:00+00:00,,0.0766,0.077,0.0765,0.0794,0.0808,0.0836,0.0859,0.0871,,0.0883
1990-08-14 00:00:00+00:00,,0.0768,0.0772,0.0769,0.0794,0.0808,0.0834,0.0855,0.0866,,0.0878
1990-08-15 00:00:00+00:00,,0.077,0.0773,0.0768,0.0794,0.0808,0.0833,0.0854,0.0864,,0.0876
1990-08-16 00:00:00+00:00,,0.0773,0.0783,0.0781,0.0809,0.0823,0.0845,0.0865,0.0876,,0.0891
1990-08-17 00:00:00+00:00,,0.0772,0.0782,0.078,0.0811,0.0827,0.0849,0.0868,0.088,,0.0894
1990-08-20 00:00:00+00:00,,0.0777,0.0785,0.0784,0.0813,0.0828,0.085,0.087,0.0881,,0.0892
1990-08-21 00:00:00+00:00,,0.0783,0.0788,0.079,0.0819,0.0832,0.0856,0.0874,0.0884,,0.0894
1990-08-22 00:00:00+00:00,,0.0785,0.0791,0.0794,0.0826,0.0838,0.0862,0.088,0.0891,,0.0903
1990-08-23 00:00:00+00:00,,0.0779,0.0791,0.0799,0.0826,0.0844,0.0869,0.0888,0.09,,0.0911
1990-08-24 00:00:00+00:00,,0.0774,0.0788,0.0796,0.0832,0.085,0.0875,0.0894,0.0905,,0.0917
1990-08-27 00:00:00+00:00,,0.0778,0.0789,0.0789,0.0821,0.0834,0.0861,0.088,0.089,,0.0902
1990-08-28 00:00:00+00:00,,0.0773,0.0787,0.0794,0.0823,0.0842,0.0867,0.0885,0.0894,,0.0907
1990-08-29 00:00:00+00:00,,0.0772,0.0784,0.0785,0.0816,0.0833,0.0852,0.0875,0.0884,,0.0895
1990-08-30 00:00:00+00:00,,0.077,0.078,0.0783,0.0812,0.0831,0.0852,0.0877,0.0886,,0.0898
1990-08-31 00:00:00+00:00,,0.0763,0.0774,0.0776,0.0807,0.0826,0.085,0.0877,0.0886,,0.0899
1990-09-04 00:00:00+00:00,,0.0764,0.0775,0.0776,0.0809,0.0828,0.0853,0.088,0.089,,0.0903
1990-09-05 00:00:00+00:00,,0.0761,0.0771,0.0774,0.0804,0.0823,0.0847,0.0875,0.0886,,0.0898
1990-09-06 00:00:00+00:00,,0.0762,0.0771,0.0774,0.0806,0.0824,0.0847,0.0875,0.0884,,0.0896
1990-09-07 00:00:00+00:00,,0.0763,0.0773,0.0773,0.0804,0.0822,0.0845,0.0872,0.0881,,0.0892
1990-09-10 00:00:00+00:00,,0.0768,0.0776,0.0779,0.0809,0.0826,0.085,0.0875,0.0885,,0.0898
1990-09-11 00:00:00+00:00,,0.0767,0.0776,0.0781,0.081,0.0827,0.0848,0.0873,0.0883,,0.0896
1990-09-12 00:00:00+00:00,,0.0761,0.077,0.0775,0.0805,0.0826,0.0845,0.0872,0.0882,,0.0896
1990-09-13 00:00:00+00:00,,0.0759,0.0765,0.077,0.0801,0.0819,0.0844,0.0871,0.0882,,0.0896
1990-09-14 00:00:00+00:00,,0.0759,0.0763,0.0772,0.0803,0.0823,0.0848,0.0875,0.0887,,0.0901
1990-09-17 00:00:00+00:00,,0.0761,0.0766,0.0773,0.0805,0.0823,0.0849,0.0878,0.089,,0.0906
1990-09-18 00:00:00+00:00,,0.0761,0.0766,0.0773,0.0803,0.0822,0.0848,0.0877,0.089,,0.0905
1990-09-19 00:00:00+00:00,,0.0764,0.0769,0.0779,0.0808,0.0824,0.0851,0.0878,0.0888,,0.0902
1990-09-20 00:00:00+00:00,,0.0763,0.0773,0.0781,0.081,0.0827,0.0853,0.088,0.0891,,0.0905
1990-09-21 00:00:00+00:00,,0.076,0.0771,0.0777,0.0812,0.0831,0.0858,0.0887,0.0899,,0.0913
1990-09-24 00:00:00+00:00,,0.0763,0.0775,0.0783,0.0821,0.0838,0.0864,0.0892,0.0904,,0.0918
1990-09-25 00:00:00+00:00,,0.0759,0.0778,0.0785,0.0818,0.084,0.0864,0.0891,0.0902,,0.0915
1990-09-26 00:00:00+00:00,,0.0757,0.0774,0.0784,0.0816,0.0838,0.0863,0.089,0.09,,0.0914
1990-09-27 00:00:00+00:00,,0.0747,0.0761,0.0772,0.0805,0.0828,0.0852,0.0881,0.0891,,0.0905
1990-09-28 00:00:00+00:00,,0.0737,0.0754,0.0769,0.0802,0.0819,0.0847,0.0873,0.0882,,0.0896
1990-10-01 00:00:00+00:00,,0.0737,0.0753,0.0763,0.0794,0.0812,0.0838,0.0863,0.0871,,0.0884
1990-10-02 00:00:00+00:00,,0.0741,0.0755,0.0761,0.0792,0.081,0.0835,0.086,0.0869,,0.0884
1990-10-03 00:00:00+00:00,,0.0738,0.0753,0.0757,0.0788,0.0809,0.0833,0.086,0.0871,,0.0885
1990-10-04 00:00:00+00:00,,0.0736,0.0751,0.0756,0.0787,0.0804,0.083,0.0858,0.0867,,0.0881
1990-10-05 00:00:00+00:00,,0.0727,0.0744,0.0751,0.0781,0.08,0.0827,0.0854,0.0865,,0.0879
1990-10-09 00:00:00+00:00,,0.0741,0.0758,0.0764,0.0794,0.0814,0.0843,0.0872,0.0883,,0.0898
1990-10-10 00:00:00+00:00,,0.0744,0.076,0.0764,0.0799,0.0819,0.0849,0.0878,0.0889,,0.0903
1990-10-11 00:00:00+00:00,,0.0735,0.0751,0.076,0.0799,0.0822,0.0851,0.0879,0.0892,,0.0908
1990-10-12 00:00:00+00:00,,0.0737,0.0752,0.0759,0.0794,0.0816,0.0844,0.087,0.0884,,0.0898
1990-10-15 00:00:00+00:00,,0.074,0.0756,0.0758,0.0792,0.0813,0.0839,0.0867,0.088,,0.0895
1990-10-16 00:00:00+00:00,,0.0739,0.0758,0.0758,0.0792,0.0813,0.0839,0.0866,0.0879,,0.0894
1990-10-17 00:00:00+00:00,,0.0744,0.0759,0.076,0.0792,0.0812,0.0837,0.0863,0.0876,,0.0889
1990-10-18 00:00:00+00:00,,0.0749,0.0757,0.0759,0.0791,0.0808,0.0832,0.0859,0.0871,,0.0885
1990-10-19 00:00:00+00:00,,0.0748,0.0756,0.0755,0.0785,0.0802,0.0825,0.0849,0.0862,,0.0875
1990-10-22 00:00:00+00:00,,0.0747,0.0755,0.0753,0.0785,0.0803,0.0825,0.085,0.0863,,0.0876
1990-10-23 00:00:00+00:00,,0.0745,0.0753,0.0752,0.0784,0.08,0.0825,0.0851,0.0865,,0.0879
1990-10-24 00:00:00+00:00,,0.0746,0.0753,0.0752,0.0784,0.08,0.0826,0.0852,0.0866,,0.0879
1990-10-25 00:00:00+00:00,,0.0741,0.0751,0.0746,0.078,0.0797,0.0821,0.0847,0.0862,,0.0874
1990-10-26 00:00:00+00:00,,0.0736,0.0745,0.0746,0.078,0.0797,0.0823,0.0848,0.0863,,0.0876
1990-10-29 00:00:00+00:00,,0.0738,0.0748,0.0748,0.0782,0.0801,0.0827,0.0854,0.087,,0.0884
1990-10-30 00:00:00+00:00,,0.0737,0.0751,0.0748,0.0779,0.0802,0.0828,0.0856,0.087,,0.0883
1990-10-31 00:00:00+00:00,,0.0734,0.0746,0.0743,0.0777,0.0797,0.0824,0.085,0.0865,,0.0878
1990-11-01 00:00:00+00:00,,0.0728,0.0738,0.0732,0.0768,0.0788,0.0815,0.0842,0.0857,,0.087
1990-11-02 00:00:00+00:00,,0.0731,0.074,0.0735,0.0768,0.0788,0.0816,0.0842,0.0857,,0.087
1990-11-05 00:00:00+00:00,,0.0731,0.0739,0.0733,0.0763,0.0784,0.081,0.0836,0.085,,0.0863
1990-11-06 00:00:00+00:00,,0.0731,0.0742,0.0736,0.0765,0.078,0.0811,0.0837,0.0852,,0.0864
1990-11-07 00:00:00+00:00,,0.0732,0.0743,0.0736,0.0767,0.0782,0.0816,0.0844,0.0857,,0.0871
1990-11-08 00:00:00+00:00,,0.0732,0.0742,0.0735,0.0767,0.0782,0.0818,0.0844,0.0858,,0.0873
1990-11-09 00:00:00+00:00,,0.0727,0.0739,0.0733,0.0761,0.0775,0.081,0.0836,0.0849,,0.0863
1990-11-13 00:00:00+00:00,,0.0727,0.0739,0.073,0.076,0.077,0.0801,0.0826,0.0837,,0.0852
1990-11-14 00:00:00+00:00,,0.073,0.0738,0.0731,0.0758,0.077,0.0801,0.0825,0.0836,,0.0851
1990-11-15 00:00:00+00:00,,0.0732,0.074,0.0732,0.076,0.0771,0.0801,0.0826,0.0837,,0.0853
